Name of Institution,JAMB CUTOFF MARK
"FOUNTAIN UNIVERSITY, OSOGBO, OSUN STATE",160
"GODFREY OKOYE UNIVERSITY, URGWUOMU- NIKE, ENUGU STATE",160
"GOMBE STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, KUMO,
GOMBE STATE",160
"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",160
"GREENFIELD UNIVERSITY, KASARAMI, KADUNA STATE",160
"GREGORY UNIVERSITY, UTURU, ABIA STATE",160
"HALLMARK UNIVERSITY,IJEBU-ITELE,OGUN STATE",160
"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",160
"IBRAHIM BADAMASI BABANGIDA UNIVERSITY, LAPAI, NIGER STATE",170
"IGBINEDION UNIVERSITY, OKADA, BENIN CITY, EDO STATE",160
"IGNATIUS AJURU UNIVERSITY OF EDUCATION, PORT HARCOURT,
RIVERS STATE",160
"IMMANUEL COLLEGE OF THEOLOGY AND CHRISTIAN EDUC. IBADAN
(AFFL TO UNIV OF IBADAN)",200
"IMO STATE UNIVERSITY, OWERRI, IMO STATE",180
"JOSEPH AYO BABALOLA UNIVERSITY, IKEJI-ARAKEJI, OSUN STATE",160
"KADUNA STATE UNIVERSITY, KADUNA, KADUNA STATE",170
"KANO UNIVERSITY OF SCIENCE AND TECHNOLOGY, WUDIL, KANO
STATE",160
"KEBBI STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, ALIERO,
KEBBI STATE",160
"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",160
"KOGI STATE UNIVERSITY, ANYIGBA, KOGI STATE",160
"KOLADAISI UNIVERSITY, IBADAN, OYO STATE.",160
"KWARA STATE UNIVERSITY, MALETE, ILORIN, KWARA STATE",160
"KWARARAFA UNIVERSITY, WUKARI, TARABA STATE",160
"LADOKE AKINTOLA UNIVERSITY OF TECHNOLOGY, OGBOMOSO, OYO
STATE",180
"LAGOS STATE UNIVERSITY, OJO, LAGOS STATE",190
"LANDMARK UNIVERSITY, OMU-ARAN, KWARA STATE",180
"LEAD CITY UNIVERSITY, IBADAN, OYO STATE",160
"MADONNA UNIVERSITY, ELELE, RIVERS STATE",160
"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",160
"MICHAEL AND CECILIA IBRU UNIVERSITY, OWHRODE, UGHELLI NORTH,
DELTA STATE",160
"MICHAEL OKPARA UNIVERSITY OF AGRICULTURE, UMUDIKE, ABIA
STATE",160
"MODIBO ADAMA UNIVERSITY OF TECHNOLOGY, YOLA, ADAMAWA
STATE",160
"MOUNTAIN TOP UNIVERSITY, MAKOGI-OBA, OGUN STATE",160
"NASARAWA STATE UNIVERSITY, KEFFI, NASARAWA STATE",160
"NIGER DELTA UNIVERSITY, WILBERFORCE ISLAND, BAYELSA STATE",160
"NIGERIA MARITIME UNIVERSITY, OKERENKOKO, DELTA STATE",170
"NIGERIAN ARMY UNIVERSITY, BIU, BORNO STATE",180
"NIGERIAN CHRISTIAN BIBLE COLLEGE, ABAK, AKWA IBOM STATE",160
"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",180
"NIGERIAN POLICE ACADEMY, WUDIL, KANO STATE",180
"NILE UNIVERSITY OF NIGERIA, ABUJA, FCT",160
"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",160
"NOVENA UNIVERSITY, OGUME, DELTA STATE",160
"OBAFEMI AWOLOWO UNIVERSITY, ILE-IFE, OSUN STATE",200
"OBONG UNIVERSITY, OBONG, NTAK, AKWA IBOM",160
"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",160
"OLABISI ONABANJO UNIVERSITY, AGO-IWOYE, OGUN STATE",180
"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO,
ONDO STATE",180
"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA,
ONDO STATE",180
"OSUN STATE COLLEGE OF EDUCATION, ILESA, OSUN STATE. (AFFL TO
UNIV OF IBADAN)",160
"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",160
"PAMO UNIVERSITY OF MEDICAL SCIENCE, PORT HARCOURT, RIVERS
STATE",180
"PAN-ATLANTIC UNIVERSITY, AHMED ONIBUDO STREET, VICTORIA
ISLAND, LAGOS STATE",210
"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",160
"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",170
"PRECIOUS CORNERSTONE UNIVERSITY, IBADAN, OYO STATE",160
"REDEEMERS UNIVERSITY, OSUN STATE",180
"RENAISSANCE UNIVERSITY, OJIAGU-AGBANI, ENUGU, ENUGU STATE",160
"RHEMA UNIVERSITY, ABA, ABIA STATE",160
"RITMAN UNIVERSITY,IKOT-EKPENE, AKWA-IBOM STATE",160
"RIVERS STATE UNIVERSITY, PORT HARCOURT, RIVERS STATE",180
"SALEM UNIVERSITY, LOKOJA, KOGI STATE",160
"SAMUEL ADEGBOYEGA UNIVERSITY, OGWA, EDO STATE",160
"SEAT OF WISDOM SEMINARY, OWERRI, IMO STATE (AFFL TO IMO
STATE UNIVERSITY)",180
"SEMINARY OF ALL SAINTS, EKPOMA, EDO STATE. (AFFL TO UNIBEN,
BENIN)",200
"SKYLINE UNIVERSITY NIGERIA, KANO, KANO STATE",160
"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",160
"SOUTHWESTERN UNIVERSITY, OKUN-OWA, OGUN STATE",160
"SPIRITAN INT’L SCHOOL OF THEOLOGY, ATTAKWU, ENUGU (AFFL TO
UNIV OF NIG, NSUKKA)",180
"SPIRITAN SCHOOL OF PHILOSOPHY, ISSIENU, NSUKKA, (AFFL TO UNIV
OF NIG, NSUKKA)",180
"SPIRITAN UNIVERSITY, NNEOCHI, ABIA STATE",160
"ST. PETER AND PAUL SEMINARY BODIJA, IBADAN (AFFL TO UNIV OF
IBADAN), OYO STATE",200
